fund,strategy,year,aum_bn,headcount,source,audited,flag
AQR Capital Management,Q,2013,10.27,311,SEC_ADV_BULK,False,OK
AQR Capital Management,Q,2014,119.22,400,SEC_ADV_BULK,False,OK
AQR Capital Management,Q,2015,169.96,481,SEC_ADV_BULK,False,OK
AQR Capital Management,Q,2016,193.87,598,SEC_ADV_BULK,False,OK
AQR Capital Management,Q,2017,243.98,722,SEC_ADV_BULK,False,OK
AQR Capital Management,Q,2018,307.72,876,SEC_ADV_BULK,False,OK
AQR Capital Management,Q,2019,270.09,1018,SEC_ADV_BULK,False,OK
AQR Capital Management,Q,2020,248.9,928,SEC_ADV_BULK,False,OK
AQR Capital Management,Q,2021,164.44,711,SEC_ADV_BULK,False,OK
AQR Capital Management,Q,2022,145.45,649,SEC_ADV_BULK,False,OK
AQR Capital Management,Q,2023,120.0,566,SEC_ADV_BULK,False,OK
AQR Capital Management,Q,2024,132.54,573,SEC_ADV_BULK,False,OK
Balyasny Asset Management,P,2013,7.7,199,SEC_ADV_BULK,False,OK
Balyasny Asset Management,P,2014,14.49,223,SEC_ADV_BULK,False,OK
Balyasny Asset Management,P,2015,29.02,287,SEC_ADV_BULK,False,OK
Balyasny Asset Management,P,2016,35.96,395,SEC_ADV_BULK,False,OK
Balyasny Asset Management,P,2017,75.06,521,SEC_ADV_BULK,False,OK
Balyasny Asset Management,P,2018,127.41,645,SEC_ADV_BULK,False,OK
Balyasny Asset Management,P,2019,157.89,574,SEC_ADV_BULK,False,OK
Balyasny Asset Management,P,2020,118.43,542,SEC_ADV_BULK,False,OK
Balyasny Asset Management,P,2021,160.25,699,SEC_ADV_BULK,False,OK
Balyasny Asset Management,P,2022,180.96,1048,SEC_ADV_BULK,False,OK
Balyasny Asset Management,P,2023,184.42,1651,SEC_ADV_BULK,False,OK
Balyasny Asset Management,P,2024,248.04,1857,SEC_ADV_BULK,False,OK
Bridgewater Associates,H,2013,183.69,1256,SEC_ADV_BULK,False,OK
Bridgewater Associates,H,2014,196.58,1274,SEC_ADV_BULK,False,OK
Bridgewater Associates,H,2015,219.12,1379,SEC_ADV_BULK,False,OK
Bridgewater Associates,H,2016,212.29,1583,SEC_ADV_BULK,False,OK
Bridgewater Associates,H,2017,239.32,1491,SEC_ADV_BULK,False,OK
Bridgewater Associates,H,2018,239.14,1549,SEC_ADV_BULK,False,OK
Bridgewater Associates,H,2019,234.86,1534,SEC_ADV_BULK,False,OK
Bridgewater Associates,H,2020,235.61,1580,SEC_ADV_BULK,False,OK
Bridgewater Associates,H,2021,223.01,1251,SEC_ADV_BULK,False,OK
Bridgewater Associates,H,2022,235.54,1147,SEC_ADV_BULK,False,OK
Bridgewater Associates,H,2023,196.83,1166,SEC_ADV_BULK,False,OK
Bridgewater Associates,H,2024,171.75,1196,SEC_ADV_BULK,False,OK
Citadel Advisors,H,2013,100.61,869,SEC_ADV_BULK,False,OK
Citadel Advisors,H,2014,141.55,985,SEC_ADV_BULK,False,OK
Citadel Advisors,H,2015,175.85,979,SEC_ADV_BULK,False,OK
Citadel Advisors,H,2016,149.22,1151,SEC_ADV_BULK,False,OK
Citadel Advisors,H,2017,152.66,1468,SEC_ADV_BULK,False,OK
Citadel Advisors,H,2018,194.19,1665,SEC_ADV_BULK,False,OK
Citadel Advisors,H,2019,194.06,1736,SEC_ADV_BULK,False,OK
Citadel Advisors,H,2020,234.68,2055,SEC_ADV_BULK,False,OK
Citadel Advisors,H,2021,244.03,2375,SEC_ADV_BULK,False,OK
Citadel Advisors,H,2022,253.35,2630,SEC_ADV_BULK,False,OK
Citadel Advisors,H,2023,339.08,2823,SEC_ADV_BULK,False,OK
Citadel Advisors,H,2024,397.05,2932,SEC_ADV_BULK,False,OK
D.E. Shaw,Q,2013,64.21,488,SEC_ADV_BULK,False,OK
D.E. Shaw,Q,2014,81.36,441,SEC_ADV_BULK,False,OK
D.E. Shaw,Q,2015,84.65,461,SEC_ADV_BULK,False,OK
D.E. Shaw,Q,2016,85.14,435,SEC_ADV_BULK,False,OK
D.E. Shaw,Q,2017,81.32,473,SEC_ADV_BULK,False,OK
D.E. Shaw,Q,2018,80.1,521,SEC_ADV_BULK,False,OK
D.E. Shaw,Q,2019,77.14,576,SEC_ADV_BULK,False,OK
D.E. Shaw,Q,2020,82.12,628,SEC_ADV_BULK,False,OK
D.E. Shaw,Q,2021,111.94,699,SEC_ADV_BULK,False,OK
